Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-05-06,Worxogo,Series A,165000000.0,2018,2016,Bangalore,Technology
2018-05-06,Ekincare,Series A,1500000.0,2018,2016,Hyderabad,Healthcare
2018-05-06,Avenues Payments India Pvt. Ltd.,Corporate Round,1300000.0,2018,2016,Mumbai,Technology
2018-05-07,Ontrack Technologies Pvt. Ltd,Seed,5800000.0,2018,2016,Bangalore,Consumer Services
2018-05-08,Chai Kings,Seed,20000000.0,2018,2016,Chennai,Consumables
2018-05-08,Zoctr Health,Seed,5800000.0,2018,2016,Powai,Automotive
2018-05-08,Myra,Venture - Series Unknown,8750000.0,2018,2016,Bangalore,Automotive
2018-05-09,SlicePay,Series A,14900000.0,2018,2016,Bengaluru,FinTech
2018-05-09,Nutrisattva (Proliva),Angel,5800000.0,2018,2016,Anand,Consumables
2018-05-09,MyDentistChoice,Seed,500000.0,2018,2016,Hyderabad,Automotive
2018-05-10,Cashkumar,Seed,50000000.0,2018,2016,Bengaluru,FinTech
2018-05-10,CleanseCar,Angel,35000000.0,2018,2016,Bangalore,Automotive
2018-05-11,Career Anna,Seed,40000000.0,2018,2016,Bangalore,Education
2018-05-11,Hubhopper,Series A,500000.0,2018,2016,Delhi,Gaming
2018-05-11,Livspace,Series C,70000000.0,2018,2016,Bangalore,E-Commerce
2018-05-12,UrbanClap,Series D,50000000.0,2018,2016,Delhi,Technology
2018-05-12,Chtrbox,Angel,10000000.0,2018,2016,Mumbai,Marketing
2018-05-12,Drstore,Seed,5800000.0,2018,2016,Mumbai,Healthcare
2018-05-12,The Social Hook,Seed,5800000.0,2018,2016,Bengaluru,Marketing
2018-05-13,PayMe India,Angel,2000000.0,2018,2016,Noida,FinTech
2018-05-16,Moglix,Series C,23000000.0,2018,2016,Noida,E-Commerce
2018-05-17,9stacks,Series A,280000000.0,2018,2016,Delhi,Gaming
2018-05-18,DataTrained,Seed,120000000.0,2018,2016,Bangalore,Education
2018-05-19,Em Personal Care,Seed,5800000.0,2018,2016,Worli,Wellness/Beauty
2018-05-20,Blueleaf Cyberspace Systems,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-05-20,Vizzbee,Pre-Seed,20000.0,2018,2016,Bhopal,Consumer Services
2018-05-20,Twenty Two Motors,Corporate Round,65000000.0,2018,2016,Haryana,Energy
2018-05-21,Fusion Microfinance,Series E,-2147483648.0,2018,2016,New Delhi,Finance
2018-05-22,Studds Accessories,Seed,1000000000.0,2018,2016,Faridabad,E-Commerce
2018-05-24,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Seed,200000.0,2018,2016,Pune,Marketing
2018-05-24,Perspectico,Seed,5800000.0,2018,2016,New Delhi,Automotive
2018-05-25,Spoofin,Venture - Series Unknown,5800000.0,2018,2016,New Delhi,Media/Entertainment
2018-05-25,Bombay Shaving Company,Series A,5800000.0,2018,2016,New Delhi,Consumer Services
2018-05-27,Connect India,Angel,5800000.0,2018,2016,New Delhi,Logistics
2018-05-27,MyNewCar.in,Venture - Series Unknown,1000000.0,2018,2016,Gurgaon,Automotive
2018-05-27,Sqrrl Fintech,Seed,1000000.0,2018,2016,Gurgaon,FinTech
2018-05-28,mfine,Series A,4200000.0,2018,2016,Bengaluru,Automotive
2018-05-28,Eggoz,Angel,12000000.0,2018,2016,Indore,Consumables
2018-05-28,MySEODoc,Seed,5800000.0,2018,2016,Delhi,Marketing
2018-05-28,INDwealth,Seed,-2147483648.0,2018,2016,Gurgaon,Finance
2018-05-29,BuyForexOnline,Seed,2000000.0,2018,2016,Bangalore,Logistics
2018-05-29,Flickstree,Seed,5800000.0,2018,2016,Mumbai,Media/Entertainment
2018-05-29,Perpule,Series A,340000000.0,2018,2016,Bangalore,Consumer Services
2018-05-29,ONGO Framework,Angel,1000000.0,2018,2016,Hyderabad,E-Commerce
2018-05-29,Smartcoin,Seed,2000000.0,2018,2016,Bangalore,Finance
2018-05-29,Knocksense,Seed,5800000.0,2018,2016,Lucknow,Media/Entertainment
2018-05-30,InnerChef,Venture - Series Unknown,1760000.0,2018,2016,Gurgaon,Consumables
2018-05-30,iChamp,Seed,5000000.0,2018,2016,Gurgaon,Education
2018-05-31,Groww,Seed,120000.0,2018,2016,Kormangala,Finance
2018-06-03,Vivish Technologies (myGate),Series A,650000000.0,2018,2016,Bengaluru,Technology
2018-06-03,Picxy,Seed,130000.0,2018,2016,Guntur,Technology
2018-06-03,MadGuy Labs,Venture - Series Unknown,150000.0,2018,2016,Hyderabad,Education
2018-06-04,Wooden Street,Series A,1000000.0,2018,2016,Jaipur,Real Estate
2018-06-04,Tricog Health Services Pvt Ltd,Series A,4000000.0,2018,2016,Bangalore,Automotive
2018-06-04,Vahdam Teas,Series B,2500000.0,2018,2016,New Delhi,Consumables
2018-06-09,DRIVEU,Venture - Series Unknown,70000000.0,2018,2016,Bengaluru,Logistics
2018-06-11,Dee Dee Labs,Seed,5800000.0,2018,2016,Pune,Automotive
2018-06-11,BlueJack,Seed,64000000.0,2018,2016,Delhi,Automotive
2018-06-11,IndiQube,Series A,15000000.0,2018,2016,Bengaluru,Real Estate
2018-06-12,PharmEasy,Series C,80000000.0,2018,2016,Mumbai,Automotive
2018-06-13,Toffee,Seed,1500000.0,2018,2016,Gurgaon,Technology
2018-06-14,&ME,Seed,5800000.0,2018,2016,Bangalore,Consumables
2018-06-14,Picture TIme,Seed,250000000.0,2018,2016,New Delhi,Media/Entertainment
2018-06-15,Moonshine Meadery,Seed,5800000.0,2018,2016,Pune,Consumables
2018-06-16,Cyclops Medtech,Seed,1000000.0,2018,2016,Bangalore,Automotive
2018-06-16,arzooo.com,Seed,15000000.0,2018,2016,Bangalore,Consumer Services
2018-06-17,Pitstop,Seed,100000000.0,2018,2016,Bengaluru,Automotive
2018-06-19,Gugu,Seed,250000.0,2018,2016,Coimbatore,Energy
2018-06-19,Ola,Venture - Series Unknown,50000000.0,2018,2016,Kormangala,Logistics
2018-06-19,Rooter,Seed,45000000.0,2018,2016,India,Gaming
2018-06-20,Housejoy,Series B,3240000.0,2018,2016,Bengaluru,Wellness/Beauty
2018-06-20,Vokal,Series A,1500000.0,2018,2016,Bengaluru,Technology
2018-06-22,CLP India Pvt. Ltd.,Seed,365000000.0,2018,2016,Mumbai,Energy
2018-06-22,True Elements,Seed,50000000.0,2018,2016,Pune,Consumables
2018-06-23,Jetbrain Robotics,Seed,70000.0,2018,2016,Gurgaon,Automotive
2018-06-24,Sports Flashes Pvt. Ltd,Seed,1000000.0,2018,2016,New Delhi,Gaming
2018-06-24,Drivezy,Seed,100000000.0,2018,2016,Bengaluru,Automotive
2018-06-25,Verloop,Series A,3000000.0,2018,2016,Bangalore,Technology
2018-06-26,Theranosis Life Sciences,Seed,5800000.0,2018,2016,Hyderabad,Automotive
2018-06-26,Tripeur,Seed,600000.0,2018,2016,Bengaluru,Technology
2018-06-27,Steradian Semiconductors,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-06-27,Letstrack,Seed,1700000.0,2018,2016,New Delhi,Technology
2018-06-28,Arogya MedTech,Seed,15000000.0,2018,2016,Kolkata,Automotive
2018-06-28,FastFox,Series A,100000000.0,2018,2016,Gurgaon,Logistics
2018-06-29,SectorQube,Seed,5800000.0,2018,2016,Ernakulam,Consumer Services
2018-06-30,BhaskarGuru,Seed,1000000.0,2018,2016,Bhopal,Other
2018-07-01,Lucideus,Venture - Series Unknown,5000000.0,2018,2016,New Delhi,Consumer Services
2018-07-03,Design Cafe,Series B,2000000000.0,2018,2016,Bengaluru,Real Estate
2018-07-04,Freshboxx,Seed,5800000.0,2018,2016,Hubli,Consumables
2018-07-05,MCaffeine,Seed,32000000.0,2018,2016,Mumbai,Consumer Services
