Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2020-02-11,Brick&Bolt,2018,Bangalore,"Jayesh Rajpurohit, Arpit Rajpurohit",Surge,1500000.0,Pre-series A,2020,Real Estate
2020-02-11,Sanfe,2016,Delhi,"Archit Agarwal, Harry Sehrawat","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",1100000.0,Pre-series A,2020,Other
2020-02-11,DillyHub,2018,Seoul,Ji Cheol Ryu,"Kakao Ventures, Shinhan Capital",1400000.0,Seed,2020,Media/Entertainment
2020-02-11,Knorish,2016,Delhi,"Kinner N Sacchdev, Rakhi Wadhwa",100x VC,323000.0,Pre-series A,2020,Education
2020-02-11,Stanplus,2016,Hyderabad,Prabhdeep Singh,Pegasus FinInvest,1500000.0,Pre-series A,2020,Healthcare
2020-02-11,ShareChat,2015,Bangalore,"Ankush Sachdeva, Bhanu Pratap Singh, Bhanu Singh, Farid Ahsan","Lightspeed venture partners, saif partners",40000000.0,Pre-series C,2020,Other
2020-02-11,Yulu,2016,Bangalore,Amit Gupta,Rocketship,3964000.0,Series A,2020,Other
2020-02-11,Paper Boat,2013,Bangalore,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Advent Management, A91 Emerging Fund, Trifecta Venture",4049500.0,Series A,2020,Consumables
2020-02-12,Aether Biomedical,2016,Delhi,"Dhruv Agrawal, Faith Jiwakhan",Chiratae Ventures,3000000.0,Seed Investment,2020,Technology
2020-02-12,True Balance,2014,Gurugram,"Charlie, Jay, Martin",Balancehero,-2147483648.0,Series C,2020,Finance
2020-02-12,Credit Wise Capital,1994,Mumbai,"Hirak Joshi, Aalesh Avlani",Venture Catalysts,6000000.0,Seed,2020,FinTech
2020-02-12,Jumbotail,2015,Bangalore,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures",11000000.0,Series B2,2020,Consumer Services
2020-02-13,Oda Class,2016,Bangalore,"Li Yong, Shushant Srivastava",Yuanfudao,3000000.0,Pre-series A,2020,Education
2020-02-14,MPL,2018,Bangalore,"Sai Srinivas Kiran Garimella, Shubham Malhotra","Sequoia Capital India, Times Internet",50000000.0,Series B,2020,Media/Entertainment
2020-02-15,WakeFit,2016,Bangalore,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,20000000.0,Series B,2020,Consumer Services
2020-02-15,LetsUp,2015,Mumbai,Suhas raikar,Venture Catalysts,3000000.0,Series A,2020,Media/Entertainment
2020-02-16,NWNT (No Worry No Tension Healthcare),2016,Delhi,Sandeep Vohra,Amit Burman,3000000.0,Pre-series A,2020,Healthcare
2020-02-17,Salesken,2016,Bangalore,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India,8000000.0,Series A,2020,Technology
2020-02-17,Yolo,2019,Gurugram,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,600000.0,Seed funding,2020,Logistics
2020-02-17,F5,2018,Delhi,"Raghav Arora, Lalit Kumar Aggarwal",LetsVenture investors,3000000.0,Seed Round,2020,E-Commerce
2020-02-17,Umeed Housing,2016,Haryana,Ashutosh Sharma,Morgan Stanley Private Equity Asia,23000000.0,Series D,2020,FinTech
2020-02-18,Able Jobs,2019,Bangalore,"Ravish Agrawal, Swatantra Kumar, Siddharth Srivastav","SAIF Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.",2000000.0,Series A,2020,Other
2020-02-18,Callify.ai,2016,Mumbai,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000.0,Seed,2020,Technology
2020-02-19,Leverage Edu,2016,Delhi,Akshay Chaturvedi,"DSG Consumer Partners, Blume Ventures",1500000.0,Series A,2020,Education
2020-02-20,Financepeer,2017,Mumbai,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Ravi Sanghvi, PitchRight Venture",3000000.0,Pre-series A,2020,Education
2020-02-20,Rupeek,2015,Bangalore,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners",30000000.0,Series A,2020,FinTech
2020-02-20,Classplus,2018,Bangalore,"Rustagi, Bhaswat Agarwal","Blume Ventures, Sequoia",2500000.0,Pre-series A,2020,Education
2020-02-20,Hapramp,2018,Gurugram,"Shubhendra Vikram, Ankit Kumar",Anand Mahindra,1000000.0,Series A,2020,Technology
2020-02-20,Brainwired,2018,Kerala,"Sreeshankar S Nair, Romeo P Jerard","Kritik Abiram, Parthiv Rokadia, Gaurav Saraogi",3000000.0,Series A,2020,Technology
2020-02-20,TREAD,2020,Bangalore,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal",1100000.0,Pre-seed,2020,Wellness/Beauty
2020-02-21,BASIC Home Loan,2020,Gurugram,Atul Monga,Picus Capital,5000000.0,Seed,2020,FinTech
2020-02-22,Chai Kings,2016,Chennai,"Jahabar Sadique, Balaji Sadagopan",The Chennai Angels (TCA),1000000.0,Series A,2020,Consumables
2020-02-22,Mihup,2016,Kolkata,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",1500000.0,Series A,2020,Technology
2020-02-23,Drum Food,2016,Mumbai,"Rohan Mirchandani, Ganesh Krishnamurthy, Rahul Jain,Uday Thakkar.","Danone Manifesto, Mousse Partners",5305000.0,Series A,2020,Consumables
2020-02-23,Illumnus,2016,Bangalore,"Akash Deep Singhal, Akshaya Singhal",Angel investors. HNI,100000.0,Seed Round,2020,Education
2020-02-23,AppsFlyer,2011,Bangalore,"Oren Kaniel, Reshef Mann",General Atlantic,210000000.0,Series D,2020,Technology
2020-02-24,Axio Biosolutions,2016,Bangalore,Leo Mavely,Omidyar Network India,5200000.0,Series B,2020,Technology
2020-02-24,Text Mercato,2015,Bangalore,"Kiran Ramakrishna, Subhajit Mukherjee",1Crowd,649600.0,Series A,2020,E-Commerce
2020-02-24,PetPooja,2011,Ahmedabad,Apurv Patel,Udaan,2000000.0,Series A,2020,Technology
2020-02-24,Box8,2011,Mumbai,"Amit Raj, Anshul Gupta","IIFL Seed Ventures Fund, Menlo park",4000000.0,Series A,2020,Consumables
2020-02-24,Shiprocket,2017,New Delhi,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",7500000.0,Series C,2020,E-Commerce
2020-02-24,Klub,2019,Bangalore,"Anurakt Jain, Ishita Verma",Sequoia Surge,2000000.0,Seed Round,2020,FinTech
2020-02-24,Vicara,2017,Bangalore,"Abhishek Satish, Adarsh Warrier",Venture Catalysts,3000000.0,Series A,2020,Technology
2020-02-25,NCOME,2020,New Delhi,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",400000.0,Series A,2020,Finance
2020-02-25,Plop,2016,Mumbai,"Vineet Shetty, Anushka Shetty","Better Capital, LetsVenture, Rohit Chanana, Jayant Kadambi, Sunil Kumar Singhvi",3000000.0,Angel Round,2020,Technology
2020-02-25,InVideo,2017,Mumbai,"Harsh Vakharia, Pankit Chheda, Sanket Shah","Base Partners, Sequoia Capital India",15000000.0,Series A,2020,Media/Entertainment
2020-02-25,Fullife,2011,Mumbai,Varun Khanna,Amansa Capital,6609000.0,Series A,2020,Healthcare
2020-02-25,Flinto,2013,Chennai,"Vijay Babu Gandhi, Shreenidhi Srirangam, Arunprasad Durairaj",Lightbox Ventures,7200000.0,Pre series B,2020,Education
2020-02-25,TechnifyBiz,2017,Bangalore,"Akash Sharma, Abhishek Agarwal","Omnivore, Insitor Impact Asia Fund",2000000.0,Seed Round,2020,E-Commerce
2020-02-26,Treebo Hotels,2015,Bangalore,"Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Ramesh Mangaleswaran, Saikiran Krishnamurthy",6000000.0,Series A,2020,Hospitality
2020-02-26,LoadShare,2017,Bangalore,"Raghuram Talluri, Tanmoy Karmakar, Rakib Ahmed",CDC Group,2004000.0,Series B,2020,Logistics
2020-02-26,Leap India,2016,Coimbatore,Narain Karthikeyan.,Neev Fund,30000000.0,Series B,2020,Technology
2020-02-26,Samosa Party,2017,Bangalore,Amit Nanwani,Inflection Point Ventures,3000000.0,Series A,2020,Consumables
2020-02-26,Clairvolex,2006,California,Manoj Pillai,"JF Mauritius SPV, IndusAge Partners",2000000.0,Debt,2020,Technology
2020-02-27,Pepper Content,2017,Mumbai,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari",4200000.0,Series A,2020,E-Commerce
2020-02-27,Whatfix,2014,Banglore,"Khadim Batti, Vara Kumar",Sequoia Capital India,32000000.0,Series C,2020,Technology
2020-02-28,Furlenco,2011,Bangalore,Ajith Mohan Karimpana,Chowdry Associates,2200000.0,Series C,2020,E-Commerce
2020-02-28,Shilpa Sciences,2014,Bangalore,Ashwin Lal,AngelList India,3000000.0,Pre-series A,2020,Healthcare
2020-02-28,Arrival,2015,London,Denis Sverdlov,"UPS Ventures, Hyundai Motor Company",118000000.0,Series A,2020,Energy
2020-02-28,Credr,2014,Mumbai,Mittal,Stride Ventures,3000000.0,Series A,2020,Automotive
2020-02-29,Brila 91,2014,New Delhi,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Series A,2020,Consumables
2020-02-29,Finn,2019,Bangalore,"Suman Maram, Sudheer Maram","Unicorn India, PointOne Capital, Astir Ventures",3000000.0,Pre-series A,2020,FinTech
2020-03-01,Xtracap,2016,Gurugram,Mohammed Riaz,Angel Investors,1000000.0,Series A,2020,FinTech
2020-03-01,Fedo,2017,Bangalore,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City,1000000.0,Series A,2020,Technology
2020-03-02,ITILITE,2016,Bangalore,"Mayank Kukreja, Anish Khadiya","Greenoaks Capital, Vy Capital. Matrix Partners India",13000000.0,Series B,2020,Logistics
2020-03-02,TeaMonk,2016,Bangalore,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures",900000.0,Pre-series A,2020,Consumables
2020-03-02,InsuranceDekho,2017,Ludhiana,Ankit Agrawal,GirnarSoft,20000000.0,Series A,2020,FinTech
