Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-03-14,Chizel,Seed,5800000.0,2018,2016,Pune,Manufacture
2018-03-15,Forum for Innovation Incubation Research and Entrepreneurship,Grant,102500000.0,2018,2016,Margão,Other
2018-03-16,Connect India,Angel,5800000.0,2018,2016,New Delhi,Logistics
2018-03-17,Huddle,Seed,300000.0,2018,2016,Haryana,Consumer Services
2018-03-17,Agricxlab Private Limited,Seed,500000.0,2018,2016,Thane,E-Commerce
2018-03-18,Yumlane,Series A,4000000.0,2018,2016,Mumbai,Consumables
2018-03-18,Pixr8,Seed,50000.0,2018,2016,Ghaziabad,Media/Entertainment
2018-03-19,University Living,Seed,5800000.0,2018,2016,New Delhi,Education
2018-03-21,FeedMyPockets,Seed,44000000.0,2018,2016,Bangalore City,Marketing
2018-03-23,Wholesome Habits (EAT Anytime),Seed,500000.0,2018,2016,Mumbai,Consumables
2018-03-24,Vahdam Teas,Series B,2500000.0,2018,2016,New Delhi,Consumables
2018-03-24,Knocksense,Seed,5800000.0,2018,2016,Lucknow,Media/Entertainment
2018-03-26,Planet11 eCommerce Solutions India (Avenue11),Corporate Round,260000000.0,2018,2016,Bangalore,Technology
2018-03-27,Medikabazaar,Series A,5000000.0,2018,2016,Mumbai,E-Commerce
2018-03-27,Sensibull,Seed,25000000.0,2018,2016,Bangalore,E-Commerce
2018-03-29,Wide Mobility Mechatronics,Seed,5800000.0,2018,2016,Bangalore,Automotive
2018-03-30,Wedeterna,Angel,5800000.0,2018,2016,Bangalore,Other
2018-03-30,Drstore,Seed,5800000.0,2018,2016,Mumbai,Healthcare
2018-03-31,DigiConnectt Technologys,Seed,125000.0,2018,2016,Bangalore,Technology
2018-04-02,Sqrrl Fintech,Seed,1000000.0,2018,2016,Gurgaon,FinTech
2018-04-02,Portea Medical,Seed,250000000.0,2018,2016,Bangalore,Automotive
2018-04-03,StockEdge,Seed,1100000.0,2018,2016,Kolkata,Marketing
2018-04-03,Myra,Venture - Series Unknown,8750000.0,2018,2016,Bangalore,Automotive
2018-04-03,Roadcast,Angel,250000.0,2018,2016,New Delhi,Logistics
2018-04-04,GoBumpr,Seed,600000.0,2018,2016,Mylapore,Automotive
2018-04-05,HealthifyMe,Series B,6000000.0,2018,2016,Bangalore,Automotive
2018-04-05,Carmel Organics,Series A,5800000.0,2018,2016,Indore,Manufacture
2018-04-06,Avishkaar Box,Seed,50000000.0,2018,2016,Delhi,Education
2018-04-06,Gegadyne Energy,Angel,5800000.0,2018,2016,Mumbai,Energy
2018-04-07,Trendlyne Technologies,Seed,200000.0,2018,2016,Bangalore,Finance
2018-04-07,Pooltoo,Seed,5800000.0,2018,2016,New Delhi,Logistics
2018-04-07,PharmEasy,Series C,80000000.0,2018,2016,Mumbai,Automotive
2018-04-07,Ontrack Technologies Pvt. Ltd,Seed,5800000.0,2018,2016,Bangalore,Consumer Services
2018-04-07,Happy Cow Dairy,Seed,40000000.0,2018,2016,Mumbai,Agriculture
2018-04-08,Inc42,Seed,5800000.0,2018,2016,New Delhi,Media/Entertainment
2018-04-08,Wow Venue,Venture - Series Unknown,1500000.0,2018,2016,Mumbai,Other
2018-04-09,Med365 Healthcare,Seed,50000000.0,2018,2016,Jaipur,Healthcare
2018-04-09,Kuants,Seed,5000000.0,2018,2016,Gurgaon,Finance
2018-04-10,Mobycy,Angel,5800000.0,2018,2016,Gurgaon,Logistics
2018-04-12,AgNext Technologies,Series A,5800000.0,2018,2016,Mohali,Agriculture
2018-04-12,Tricog Health Services Pvt Ltd,Series A,4000000.0,2018,2016,Bangalore,Automotive
2018-04-12,Daaki,Angel,5800000.0,2018,2016,Bangalore,Automotive
2018-04-12,Aashiyaan Housing and Development Finance,Seed,135000000.0,2018,2016,Kolkata,Finance
2018-04-13,Tripeur,Seed,600000.0,2018,2016,Bangalore,Technology
2018-04-14,Verloop,Series A,3000000.0,2018,2016,Bangalore,Technology
2018-04-14,GenRobotic,Seed,5800000.0,2018,2016,Trivandrum,Marketing
2018-04-14,Healthkart,Venture - Series Unknown,10000000.0,2018,2016,Gurgaon,Automotive
